Path points with orientation:
        X        Y   orientation
  539.852  458.119        -1.258
  539.928  457.881        -1.261
  540.004  457.643        -1.264
  540.079  457.404        -1.267
  540.153  457.166        -1.270
  540.226  456.927        -1.274
  540.298  456.687        -1.278
  540.369  456.448        -1.281
  540.440  456.208        -1.285
  540.509  455.968        -1.290
  540.578  455.727        -1.294
  540.645  455.486        -1.299
  540.711  455.245        -1.303
  540.776  455.004        -1.308
  540.839  454.762        -1.313
  540.902  454.520        -1.319
  540.963  454.277        -1.324
  541.022  454.035        -1.330
  541.080  453.791        -1.336
  541.137  453.548        -1.342
  541.192  453.304        -1.348
  541.246  453.060        -1.355
  541.298  452.815        -1.361
  541.348  452.571        -1.368
  541.397  452.325        -1.375
  541.444  452.080        -1.382
  541.489  451.834        -1.389
  541.532  451.588        -1.397
  541.574  451.341        -1.405
  541.613  451.094        -1.412
  541.651  450.847        -1.420
  541.686  450.600        -1.429
  541.719  450.352        -1.437
  541.751  450.104        -1.445
  541.780  449.856        -1.454
  541.807  449.607        -1.463
  541.831  449.358        -1.472
  541.854  449.109        -1.481
  541.874  448.860        -1.491
  541.891  448.611        -1.500
  541.906  448.361        -1.510
  541.919  448.111        -1.520
  541.929  447.862        -1.530
  541.937  447.612        -1.540
  541.942  447.362        -1.551
  541.944  447.112        -1.561
  541.944  446.862        -1.572
  541.941  446.612        -1.583
  541.936  446.362        -1.594
  541.927  446.112        -1.605
  541.916  445.862        -1.616
  541.902  445.613        -1.628
  541.885  445.363        -1.639
  541.864  445.114        -1.651
  541.842  444.865        -1.663
  541.816  444.616        -1.675
  541.787  444.368        -1.687
  541.754  444.120        -1.699
  541.719  443.873        -1.712
  541.681  443.626        -1.724
  541.640  443.379        -1.735
  541.598  443.133        -1.742
  541.553  442.887        -1.750
  541.507  442.641        -1.757
  541.459  442.396        -1.765
  541.409  442.151        -1.772
  541.357  441.906        -1.779
  541.303  441.662        -1.786
  541.248  441.418        -1.793
  541.191  441.175        -1.800
  541.133  440.932        -1.807
  541.072  440.689        -1.814
  541.011  440.447        -1.821
  540.947  440.205        -1.827
  540.882  439.964        -1.834
  540.816  439.723        -1.840
  540.748  439.482        -1.846
  540.678  439.242        -1.853
  540.607  439.002        -1.859
  540.535  438.763        -1.865
  540.461  438.524        -1.871
  540.386  438.286        -1.877
  540.309  438.048        -1.882
  540.231  437.810        -1.888
  540.152  437.573        -1.894
  540.071  437.336        -1.899
  539.989  437.100        -1.904
  539.906  436.864        -1.910
  539.822  436.629        -1.915
  539.736  436.394        -1.920
  539.649  436.160        -1.925
  539.562  435.926        -1.930
  539.473  435.692        -1.935
  539.382  435.459        -1.939
  539.291  435.226        -1.944
  539.199  434.994        -1.949
  539.106  434.762        -1.953
  539.011  434.530        -1.958
  538.916  434.299        -1.962
  538.820  434.068        -1.966
  538.723  433.838        -1.970
  538.625  433.608        -1.974
  538.526  433.378        -1.978
  538.426  433.149        -1.982
  538.325  432.920        -1.986
  538.223  432.692        -1.989
  538.121  432.464        -1.993
  538.018  432.236        -1.996
  537.914  432.009        -2.000
  537.809  431.782        -2.003
  537.704  431.555        -2.006
  537.598  431.329        -2.009
  537.491  431.103        -2.012
  537.384  430.877        -2.015
  537.276  430.652        -2.018
  537.167  430.426        -2.020
  537.058  430.202        -2.023
  536.948  429.977        -2.026
  536.837  429.753        -2.028
  536.727  429.529        -2.030
  536.615  429.305        -2.033
  536.503  429.081        -2.035
  536.391  428.858        -2.037
  536.278  428.635        -2.039
  536.165  428.412        -2.041
  536.051  428.189        -2.043
  535.937  427.967        -2.044
  535.823  427.744        -2.046
  535.708  427.522        -2.048
  535.593  427.300        -2.049
  535.478  427.079        -2.050
  535.362  426.857        -2.052
  535.246  426.635        -2.053
  535.130  426.414        -2.054
  535.014  426.193        -2.055
  534.897  425.972        -2.056
  534.781  425.750        -2.057
  534.664  425.529        -2.057
  534.547  425.308        -2.058
  534.429  425.088        -2.058
  534.312  424.867        -2.059
  534.195  424.646        -2.059
  534.078  424.425        -2.060
  533.960  424.205        -2.060
  533.843  423.984        -2.060
  533.725  423.763        -2.060
  533.608  423.542        -2.060
  533.491  423.322        -2.060
  533.373  423.101        -2.059
  533.256  422.880        -2.059
  533.139  422.659        -2.058
  533.022  422.438        -2.058
  532.905  422.217        -2.057
  532.788  421.996        -2.057
  532.672  421.775        -2.056
  532.555  421.554        -2.055
  532.439  421.332        -2.054
  532.323  421.111        -2.053
  532.208  420.889        -2.052
  532.092  420.668        -2.050
  531.977  420.446        -2.049
  531.863  420.223        -2.048
  531.748  420.001        -2.046
  531.634  419.779        -2.045
  531.520  419.556        -2.043
  531.407  419.333        -2.041
  531.294  419.110        -2.039
  531.182  418.887        -2.037
  531.070  418.663        -2.035
  530.958  418.440        -2.033
  530.847  418.216        -2.031
  530.737  417.991        -2.029
  530.627  417.767        -2.026
  530.517  417.542        -2.024
  530.409  417.317        -2.021
  530.300  417.092        -2.019
  530.193  416.866        -2.016
  530.086  416.640        -2.013
  529.979  416.414        -2.010
  529.874  416.187        -2.007
  529.769  415.960        -2.004
  529.665  415.733        -2.001
  529.561  415.505        -1.998
  529.458  415.278        -1.994
  529.356  415.049        -1.991
  529.255  414.821        -1.987
  529.155  414.592        -1.984
  529.055  414.362        -1.980
  528.957  414.133        -1.976
  528.859  413.903        -1.973
  528.762  413.672        -1.969
  528.666  413.441        -1.965
  528.571  413.210        -1.961
  528.477  412.978        -1.956
  528.384  412.746        -1.952
  528.292  412.514        -1.948
  528.201  412.281        -1.943
  528.111  412.048        -1.939
  528.022  411.814        -1.934
  527.934  411.580        -1.930
  527.848  411.345        -1.925
  527.762  411.111        -1.920
  527.678  410.875        -1.915
  527.595  410.639        -1.910
  527.513  410.403        -1.905
  527.432  410.167        -1.900
  527.352  409.930        -1.895
  527.274  409.692        -1.889
  527.197  409.454        -1.884
  527.121  409.216        -1.878
  527.047  408.978        -1.873
  526.974  408.738        -1.867
  526.902  408.499        -1.862
  526.832  408.259        -1.856
  526.763  408.019        -1.850
  526.696  407.778        -1.844
  526.630  407.537        -1.838
  526.565  407.295        -1.832
  526.502  407.053        -1.826
  526.441  406.811        -1.819
  526.381  406.568        -1.813
  526.322  406.325        -1.806
  526.265  406.082        -1.800
  526.210  405.838        -1.793
  526.157  405.594        -1.787
  526.105  405.349        -1.780
  526.055  405.104        -1.773
  526.006  404.859        -1.766
  525.959  404.613        -1.759
  525.914  404.368        -1.752
  525.871  404.121        -1.745
  525.829  403.875        -1.738
  525.789  403.628        -1.731
  525.751  403.381        -1.724
  525.715  403.134        -1.716
  525.680  402.886        -1.709
  525.648  402.638        -1.701
  525.617  402.390        -1.694
  525.588  402.142        -1.686
  525.561  401.893        -1.679
  525.536  401.644        -1.671
  525.516  401.395        -1.653
  525.503  401.146        -1.624
  525.496  400.896        -1.596
  525.497  400.646        -1.569
  525.504  400.396        -1.542
  525.517  400.146        -1.517
  525.537  399.897        -1.492
  525.563  399.648        -1.467
  525.595  399.400        -1.444
  525.632  399.153        -1.421
  525.675  398.907        -1.399
  525.723  398.661        -1.377
  525.776  398.417        -1.357
  525.834  398.174        -1.337
  525.897  397.932        -1.318
  525.964  397.691        -1.299
  526.035  397.451        -1.281
  526.111  397.213        -1.264
  526.190  396.976        -1.248
  526.273  396.740        -1.232
  526.359  396.506        -1.218
  526.449  396.272        -1.203
  526.542  396.040        -1.190
  526.638  395.809        -1.177
  526.736  395.580        -1.165
  526.838  395.351        -1.154
  526.941  395.123        -1.143
  527.047  394.897        -1.134
  527.155  394.672        -1.124
  527.265  394.447        -1.116
  527.376  394.223        -1.108
  527.490  394.000        -1.101
  527.604  393.778        -1.095
  527.720  393.556        -1.089
  527.837  393.335        -1.084
  527.955  393.115        -1.080
  528.073  392.895        -1.077
  528.192  392.675        -1.074
  528.312  392.456        -1.072
  528.432  392.236        -1.070
  528.552  392.017        -1.069
  528.672  391.798        -1.069
  528.792  391.579        -1.070
  528.912  391.359        -1.071
  529.032  391.139        -1.073
  529.150  390.919        -1.076
  529.268  390.699        -1.079
  529.385  390.478        -1.083
  529.502  390.257        -1.088
  529.617  390.035        -1.093
  529.730  389.812        -1.099
  529.842  389.589        -1.105
  529.953  389.365        -1.113
  530.062  389.139        -1.120
  530.169  388.914        -1.129
  530.274  388.687        -1.138
  530.376  388.459        -1.148
  530.477  388.230        -1.158
  530.575  388.000        -1.169
  530.670  387.768        -1.180
  530.762  387.536        -1.192
  530.852  387.303        -1.205
  530.938  387.068        -1.218
  531.021  386.832        -1.232
  531.101  386.595        -1.247
  531.177  386.357        -1.262
  531.249  386.118        -1.277
  531.318  385.877        -1.293
  531.382  385.636        -1.310
  531.442  385.393        -1.327
  531.498  385.150        -1.345
  531.550  384.905        -1.363
  531.597  384.659        -1.382
  531.639  384.413        -1.401
  531.676  384.166        -1.421
  531.709  383.918        -1.441
  531.736  383.669        -1.462
  531.757  383.420        -1.484
  531.774  383.171        -1.505
  531.784  382.921        -1.528
  531.790  382.671        -1.550
  531.789  382.421        -1.574
  531.782  382.171        -1.597
  531.772  381.921        -1.612
  531.760  381.672        -1.619
  531.746  381.422        -1.625
  531.731  381.173        -1.631
  531.715  380.923        -1.637
  531.697  380.674        -1.643
  531.677  380.425        -1.649
  531.656  380.175        -1.655
  531.633  379.926        -1.661
  531.609  379.678        -1.667
  531.584  379.429        -1.673
  531.557  379.180        -1.679
  531.528  378.932        -1.685
  531.499  378.684        -1.691
  531.467  378.436        -1.696
  531.435  378.188        -1.702
  531.400  377.940        -1.708
  531.365  377.693        -1.713
  531.328  377.445        -1.719
  531.290  377.198        -1.724
  531.250  376.952        -1.730
  531.210  376.705        -1.735
  531.167  376.459        -1.740
  531.124  376.212        -1.746
  531.079  375.966        -1.751
  531.033  375.721        -1.756
  530.986  375.475        -1.761
  530.937  375.230        -1.767
  530.887  374.985        -1.772
  530.836  374.740        -1.777
  530.784  374.496        -1.782
  530.730  374.252        -1.787
  530.675  374.008        -1.792
  530.619  373.764        -1.797
  530.562  373.521        -1.802
  530.504  373.278        -1.806
  530.444  373.035        -1.811
  530.383  372.792        -1.816
  530.322  372.550        -1.821
  530.259  372.308        -1.825
  530.195  372.066        -1.830
  530.129  371.825        -1.834
  530.063  371.584        -1.839
  529.996  371.343        -1.844
  529.927  371.103        -1.848
  529.858  370.863        -1.852
  529.787  370.623        -1.857
  529.716  370.383        -1.861
  529.643  370.144        -1.865
  529.570  369.905        -1.870
  529.495  369.666        -1.874
  529.420  369.428        -1.878
  529.343  369.190        -1.882
  529.265  368.953        -1.886
  529.187  368.715        -1.890
  529.108  368.478        -1.894
  529.027  368.241        -1.898
  528.946  368.005        -1.902
  528.864  367.769        -1.906
  528.780  367.533        -1.910
  528.696  367.298        -1.914
  528.612  367.063        -1.917
  528.526  366.828        -1.921
  528.439  366.593        -1.925
  528.352  366.359        -1.928
  528.263  366.125        -1.932
  528.174  365.892        -1.935
  528.084  365.658        -1.939
  527.993  365.425        -1.942
  527.902  365.193        -1.946
  527.809  364.960        -1.949
  527.716  364.728        -1.953
  527.622  364.497        -1.956
  527.528  364.265        -1.959
  527.432  364.034        -1.962
  527.336  363.804        -1.966
  527.239  363.573        -1.969
  527.142  363.343        -1.972
  527.043  363.113        -1.975
  526.944  362.883        -1.978
  526.845  362.654        -1.981
  526.744  362.425        -1.984
  526.643  362.196        -1.987
  526.542  361.968        -1.989
  526.440  361.740        -1.992
  526.337  361.512        -1.995
  526.233  361.285        -1.998
  526.129  361.057        -2.001
  526.024  360.830        -2.003
  525.919  360.604        -2.006
  525.813  360.377        -2.008
  525.706  360.151        -2.011
  525.599  359.925        -2.013
  525.492  359.699        -2.016
  525.384  359.474        -2.018
  525.275  359.249        -2.021
  525.166  359.024        -2.023
  525.056  358.799        -2.025
  524.946  358.575        -2.027
  524.835  358.351        -2.030
  524.724  358.127        -2.032
  524.612  357.903        -2.034
  524.500  357.680        -2.036
  524.387  357.457        -2.038
  524.274  357.234        -2.040
  524.161  357.011        -2.042
  524.047  356.788        -2.044
  523.933  356.566        -2.046
  523.818  356.344        -2.048
  523.703  356.122        -2.049
  523.587  355.900        -2.051
  523.471  355.679        -2.053
  523.355  355.457        -2.055
  523.238  355.236        -2.056
  523.121  355.015        -2.058
  523.004  354.795        -2.059
  522.886  354.574        -2.061
  522.768  354.354        -2.062
  522.650  354.134        -2.064
  522.531  353.913        -2.065
  522.412  353.694        -2.067
  522.293  353.474        -2.068
  522.174  353.254        -2.069
  522.054  353.035        -2.070
  521.934  352.815        -2.072
  521.814  352.596        -2.073
  521.693  352.377        -2.074
  521.572  352.158        -2.075
  521.451  351.940        -2.076
  521.330  351.721        -2.077
  521.209  351.502        -2.078
  521.087  351.284        -2.079
  520.965  351.066        -2.080
  520.843  350.847        -2.081
  520.721  350.629        -2.081
  520.599  350.411        -2.082
  520.476  350.193        -2.083
  520.354  349.975        -2.083
  520.231  349.758        -2.084
  520.108  349.540        -2.085
  519.985  349.322        -2.085
  519.862  349.105        -2.086
  519.739  348.887        -2.086
  519.615  348.670        -2.087
  519.492  348.452        -2.087
  519.368  348.235        -2.087
  519.245  348.018        -2.088
  519.121  347.800        -2.088
  518.998  347.583        -2.088
  518.874  347.366        -2.088
  518.750  347.149        -2.089
  518.626  346.931        -2.089
  518.503  346.714        -2.089
  518.379  346.497        -2.089
  518.255  346.280        -2.089
  518.131  346.063        -2.089
  518.008  345.845        -2.089
  517.884  345.628        -2.089
  517.760  345.411        -2.088
  517.637  345.194        -2.088
  517.513  344.976        -2.088
  517.389  344.759        -2.088
  517.266  344.541        -2.087
  517.143  344.324        -2.087
  517.019  344.107        -2.087
  516.896  343.889        -2.086
  516.773  343.671        -2.086
  516.650  343.454        -2.085
  516.527  343.236        -2.085
  516.404  343.018        -2.084
  516.282  342.800        -2.083
  516.159  342.582        -2.083
  516.037  342.364        -2.082
  515.915  342.146        -2.081
  515.793  341.928        -2.080
  515.671  341.710        -2.079
  515.550  341.491        -2.079
  515.428  341.273        -2.078
  515.307  341.054        -2.077
  515.186  340.835        -2.076
  515.066  340.616        -2.075
  514.945  340.397        -2.074
  514.825  340.178        -2.073
  514.705  339.959        -2.071
  514.585  339.739        -2.070
  514.466  339.520        -2.069
  514.347  339.300        -2.068
  514.228  339.080        -2.066
  514.109  338.860        -2.065
  513.991  338.640        -2.064
  513.873  338.419        -2.062
  513.755  338.199        -2.061
  513.638  337.978        -2.059
  513.521  337.757        -2.058
  513.404  337.536        -2.056
  513.288  337.314        -2.055
  513.172  337.093        -2.053
  513.056  336.871        -2.051
  512.941  336.649        -2.050
  512.826  336.427        -2.048
  512.712  336.205        -2.046
  512.598  335.982        -2.044
  512.484  335.760        -2.042
  512.371  335.537        -2.040
  512.259  335.314        -2.038
  512.146  335.090        -2.036
  512.034  334.867        -2.034
  511.923  334.643        -2.032
  511.812  334.419        -2.030
  511.702  334.194        -2.028
  511.592  333.970        -2.026
  511.483  333.745        -2.024
  511.374  333.520        -2.022
  511.265  333.295        -2.019
  511.157  333.069        -2.017
  511.050  332.844        -2.015
  510.943  332.617        -2.012
  510.837  332.391        -2.010
  510.731  332.165        -2.007
  510.626  331.938        -2.005
  510.522  331.711        -2.002
  510.418  331.483        -2.000
  510.314  331.256        -1.997
  510.211  331.028        -1.994
  510.109  330.800        -1.992
  510.008  330.571        -1.989
  509.907  330.342        -1.986
  509.807  330.113        -1.984
  509.707  329.884        -1.981
  509.608  329.655        -1.978
  509.510  329.425        -1.975
  509.412  329.195        -1.972
  509.315  328.964        -1.969
  509.219  328.733        -1.966
  509.123  328.502        -1.963
  509.028  328.271        -1.960
  508.934  328.040        -1.957
  508.841  327.808        -1.954
  508.748  327.576        -1.951
  508.656  327.343        -1.948
  508.565  327.110        -1.944
  508.474  326.877        -1.941
  508.385  326.644        -1.938
  508.296  326.410        -1.935
  508.208  326.176        -1.931
  508.120  325.942        -1.928
  508.033  325.708        -1.925
  507.949  325.472        -1.917
  507.866  325.236        -1.906
  507.786  324.999        -1.895
  507.709  324.762        -1.885
  507.635  324.523        -1.874
  507.563  324.284        -1.863
  507.493  324.044        -1.853
  507.426  323.803        -1.842
  507.362  323.561        -1.832
  507.300  323.319        -1.821
  507.240  323.076        -1.811
  507.183  322.833        -1.801
  507.128  322.589        -1.791
  507.076  322.344        -1.781
  507.026  322.099        -1.771
  506.979  321.854        -1.762
  506.934  321.608        -1.752
  506.891  321.362        -1.743
  506.851  321.115        -1.733
  506.813  320.868        -1.724
  506.777  320.620        -1.714
  506.743  320.373        -1.705
  506.712  320.125        -1.696
  506.683  319.876        -1.687
  506.656  319.628        -1.678
  506.631  319.379        -1.670
  506.609  319.130        -1.661
  506.589  318.881        -1.652
  506.570  318.632        -1.644
  506.554  318.382        -1.635
  506.540  318.132        -1.627
  506.528  317.883        -1.619
  506.519  317.633        -1.610
  506.511  317.383        -1.602
  506.505  317.133        -1.594
  506.501  316.883        -1.586
  506.499  316.633        -1.578
  506.499  316.383        -1.571
  506.501  316.133        -1.563
  506.505  315.883        -1.555
  506.511  315.633        -1.548
  506.518  315.383        -1.541
  506.527  315.134        -1.533
  506.539  314.884        -1.526
  506.552  314.634        -1.519
  506.566  314.385        -1.512
  506.583  314.135        -1.505
  506.601  313.886        -1.498
  506.621  313.637        -1.491
  506.642  313.387        -1.485
  506.665  313.139        -1.478
  506.690  312.890        -1.472
  506.717  312.641        -1.465
  506.744  312.393        -1.459
  506.774  312.144        -1.453
  506.805  311.896        -1.446
  506.838  311.649        -1.440
  506.872  311.401        -1.434
  506.907  311.153        -1.428
  506.944  310.906        -1.423
  506.982  310.659        -1.417
